"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"04.03.2025","182.11","178.56","183.34","178.13","841.57K","1.48%"
"03.03.2025","179.46","182.49","185.83","179.04","394.11K","-1.94%"
"28.02.2025","183.01","182.00","183.79","179.75","3.61M","0.48%"
"27.02.2025","182.13","176.03","183.04","176.03","963.94K","2.82%"
"26.02.2025","177.14","179.58","180.99","176.41","1.02M","-1.20%"
"25.02.2025","179.29","180.64","182.80","178.13","748.84K","-1.22%"
"24.02.2025","181.50","179.84","181.91","177.52","430.71K","0.40%"
"21.02.2025","180.78","171.92","181.81","171.32","737.30K","5.04%"
"20.02.2025","172.10","171.55","172.69","169.56","864.93K","-0.38%"
"19.02.2025","172.75","172.69","173.50","171.25","424.73K","0.24%"
"18.02.2025","172.33","170.65","172.94","169.45","571.96K","-0.58%"
"17.02.2025","173.33","171.48","173.49","170.64","41.18K","1.55%"
"14.02.2025","170.68","172.17","173.60","170.12","617.12K","-1.35%"
"13.02.2025","173.02","171.29","173.61","169.00","1.16M","1.35%"
"12.02.2025","170.71","160.87","171.29","160.87","1.03M","5.07%"
"11.02.2025","162.48","162.54","162.98","159.61","1.14M","0.18%"
"10.02.2025","162.19","160.29","162.60","159.26","552.96K","1.44%"
"07.02.2025","159.89","160.95","161.09","158.70","524.69K","-0.45%"
"06.02.2025","160.61","160.67","162.65","159.68","785.68K","0.55%"
"05.02.2025","159.73","159.86","161.86","159.00","603.46K","0.30%"
"04.02.2025","159.26","163.00","163.00","157.46","870.39K","-2.17%"
"31.01.2025","162.79","163.73","165.49","162.16","623.64K","-0.80%"
"30.01.2025","164.10","163.12","165.90","161.52","261.14K","0.45%"
"29.01.2025","163.37","160.00","164.64","160.00","1.03M","2.11%"
"28.01.2025","159.99","161.04","161.10","156.38","1.14M","-0.65%"
"27.01.2025","161.04","155.98","161.68","155.78","540.46K","3.94%"
"24.01.2025","154.93","152.32","156.20","152.32","1.48M","1.25%"
"23.01.2025","153.01","154.20","155.28","152.83","1.14M","-0.75%"
"22.01.2025","154.17","155.75","155.75","149.17","2.36M","-1.10%"
"21.01.2025","155.88","159.66","159.66","155.26","387.17K","-1.99%"
"20.01.2025","159.05","159.17","160.03","158.43","49.29K","0.90%"
"17.01.2025","157.63","159.76","160.54","157.31","312.90K","-0.84%"
"16.01.2025","158.97","156.35","159.29","155.86","588.67K","2.05%"
"15.01.2025","155.77","157.84","159.44","155.41","402.87K","-0.77%"
"14.01.2025","156.98","156.69","158.39","155.95","939.27K","0.01%"
"13.01.2025","156.97","154.46","157.33","154.46","597.51K","1.68%"
"10.01.2025","154.37","153.98","156.25","150.50","819.40K","2.57%"
"09.01.2025","150.50","155.28","157.92","149.45","389.54K","-2.73%"
"08.01.2025","154.73","155.17","155.40","153.38","1.13M","-0.12%"
"07.01.2025","154.92","155.31","157.92","154.56","958.72K","0.07%"
"06.01.2025","154.81","156.75","158.75","154.00","834.23K","-1.48%"
"03.01.2025","157.14","161.00","161.00","156.76","659.95K","-1.74%"
"02.01.2025","159.93","162.79","163.76","159.02","308.40K","-1.27%"
"31.12.2024","161.99","161.12","162.79","160.99","223.08K","1.13%"
